user	credit_mean	credit_std	credit_interarr_mean	credit_interarr_std	debit_mean	debit_std	debit_interarr_mean	debit_interarr_std	perp_in	perp_out
145364	-2.0	-2.0	-2.0	-2.0	1.8543525958755083	-1.7873653221696608	2.17998485512734	1.6382551628537343	-2.0	-2.0
145367	-1.9978292457927884	-1.995683039187729	-1.738637619703166	-1.176292262881787	1.9953079872623691	-1.9822132042285034	-1.812259844753333	-1.6395317567017036	0.7865872517912081	-1.1805914390936172
145582	-1.9368770370093318	-1.9341220081253288	-1.41881161007667	-1.6952181701387317	1.9497083402459943	-1.9139718930095426	1.3903258804617884	0.6255479174788108	-1.4092903895866074	-2.0
145856	-1.9901108964415064	-1.9775099952832849	-2.0	-2.0	1.990113413343104	-1.9831269922324355	-2.0	-2.0	-2.0	-2.0
148919	-1.695112249862826	-1.183272572916578	-1.0335254059717123	-1.2741578346761122	1.6643575157868222	-1.3611045748155735	0.1760790721772762	0.9025753125038339	-1.231942613311231	-1.7838975553416971
153382	-1.2255352431285849	-0.6751028684766337	-1.6831481771240804	-1.6259982668028283	1.2639414947291026	-1.0274027655881548	-1.6843489697501093	-1.6316940784552436	-2.0	-1.8667658062253452
153949	-1.7622983569641584	-1.5305073590239422	-0.7867554132614366	-0.9128849267301207	1.6464049821601396	-1.6857874709343312	-0.8341955282770703	-1.1573786186162751	-1.655867201148091	-1.198211762894041
155363	-2.0	-2.0	-2.0	-2.0	1.7628134744246753	-1.7171995599830931	-1.8726320404254828	-1.8100815515148787	-2.0	-0.7259663781607719
160774	-1.9968992807013717	-1.9977668382940437	-2.0	-2.0	1.9969018018849793	-1.998324582173928	-2.0	-2.0	-2.0	-2.0
162636	-1.701820611332522	-0.7502920109446578	-1.976805618194704	-1.9572203311778018	1.6260673946276967	-0.9702128383237587	-1.964927663305568	-1.9248198685808178	-2.0	-2.0
164206	-1.9540606682084625	-1.9145780606785883	-1.1128148959474256	-2.0	1.999075744250693	-1.995236896514323	-1.7434062592807342	-1.4252658406374676	-1.6254983288008051	7.62084812818992
166931	-1.877613779903942	-1.4697404341561837	-1.3366840343532154	-1.4234825449834263	1.8300186920513062	-1.4826409954423658	-0.31174524729982833	-0.1343271811101481	-0.3787344174595505	-1.788848137007764
166964	-1.9910761964054307	-1.9917304827709201	-0.835862932248473	1.0650064056295236	1.9609321864634497	-1.840725872962953	-0.7001315212626036	1.0496786950321797	-1.5595931529590672	-1.3374229397941535
170611	-1.997449148169966	-1.9965107623771021	-2.0	-2.0	1.9977128998264124	-1.998246671512416	-2.0	-2.0	-2.0	-2.0
171713	-1.9101084177139243	-1.6405824681973626	-1.9474260679079953	-1.8669620314775193	1.8429580643177792	-1.6811055984317183	-1.9532368844074237	-1.8772313594850814	-2.0	-1.723415755730721
